A,B,C,D
-641.00,4472899.20,9676105.37,10874491.02
-559.00,4472899.20,9676105.37,10874491.02
-633.00,4472899.20,9676105.37,10874491.02
-633.00,4472899.20,9676105.37,10874491.02
-634.00,4472899.20,9676105.37,10874491.02
-634.00,4472899.20,9676105.37,10874491.02
-641.00,4472899.20,9676105.37,10874491.02
-390.00,4472899.20,9676105.37,10874491.02
-390.00,4472899.20,9676105.37,10874491.02
-392.00,4472899.20,9676105.37,10874491.02
-392.00,4472899.20,9676105.37,10874491.02
-562.00,4472899.20,9676105.37,10874491.02
-569.00,4472899.20,9676105.37,10874491.02
-569.00,4472899.20,9676105.37,10874491.02
-616.00,4472899.20,9676105.37,10874491.02
-616.00,4472899.20,9676105.37,10874491.02
-620.00,4472899.20,9676105.37,10874491.02
-620.00,4472899.20,9676105.37,10874491.02
-902.00,4472899.20,8922123.14,10027128.09
-766.00,4472899.20,8922123.14,10027128.09
-898.00,4472899.20,8922123.14,10027128.09
-898.00,4472899.20,8922123.14,10027128.09
-898.00,4472899.20,8922123.14,10027128.09
-898.00,4472899.20,8922123.14,10027128.09
-902.00,4472899.20,8922123.14,10027128.09
-728.00,4472899.20,8922123.14,10027128.09
-732.00,4472899.20,8922123.14,10027128.09
-757.00,4472899.20,8922123.14,10027128.09
-757.00,4472899.20,8922123.14,10027128.09
-766.00,4472899.20,8922123.14,10027128.09
-813.00,4472899.20,8922123.14,10027128.09
-870.00,4472899.20,8922123.14,10027128.09
-870.00,4472899.20,8922123.14,10027128.09
-884.00,4472899.20,8922123.14,10027128.09
-885.00,4472899.20,8922123.14,10027128.09
-897.00,4472899.20,8922123.14,10027128.09
-1190.00,4472899.20,8922123.14,10027128.09
-960.00,4472899.20,8922123.14,10027128.09
-1090.00,4472899.20,8922123.14,10027128.09
-1150.00,4472899.20,8922123.14,10027128.09
-1150.00,4472899.20,8922123.14,10027128.09
-1170.00,4472899.20,8922123.14,10027128.09
-1180.00,4472899.20,8922123.14,10027128.09
